epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,22395.4,0.6155,2.63865,0.23414,0.37747,1.06657,0.97272,0.9817,0.99168,0.90842,0.87396,0.8472,0.86851,0.73195,0.51746,1.76365,0.04402,0.25353,0.95607,0.003664,0.003664,0.003664
66,22787.2,0.61592,2.63205,0.23308,0.37913,1.06627,0.97284,0.98194,0.99168,0.9089,0.87468,0.84823,0.86887,0.73299,0.51702,1.75999,0.0439,0.25285,0.95575,0.003565,0.003565,0.003565
67,23178,0.61632,2.62365,0.23254,0.37904,1.0671,0.97295,0.9822,0.99172,0.90907,0.87459,0.84849,0.86895,0.73345,0.51653,1.75546,0.04375,0.25262,0.95545,0.003466,0.003466,0.003466
68,23573.1,0.60769,2.61294,0.23211,0.37268,1.06457,0.97298,0.9822,0.9917,0.90958,0.87471,0.84849,0.86916,0.73413,0.51584,1.75177,0.04368,0.25212,0.95494,0.003367,0.003367,0.003367
69,23968.6,0.60974,2.58209,0.23359,0.37385,1.06503,0.97309,0.98201,0.99172,0.91009,0.87615,0.84896,0.86935,0.73402,0.51522,1.75062,0.04362,0.25187,0.95445,0.003268,0.003268,0.003268
70,24368.1,0.59898,2.52461,0.22839,0.36583,1.05734,0.97333,0.98207,0.99177,0.91019,0.87677,0.84939,0.86967,0.73496,0.51462,1.74801,0.04352,0.25164,0.95402,0.003169,0.003169,0.003169
71,24761.4,0.60243,2.54129,0.23022,0.36543,1.06166,0.97353,0.98181,0.99175,0.91014,0.87735,0.84929,0.86985,0.73515,0.51399,1.74586,0.04351,0.25168,0.95355,0.00307,0.00307,0.00307
72,25170.9,0.59778,2.50914,0.22685,0.36909,1.05794,0.97358,0.98179,0.9918,0.91039,0.87849,0.84964,0.87022,0.73607,0.5136,1.74278,0.04341,0.25139,0.95328,0.002971,0.002971,0.002971
73,25569.5,0.59826,2.48619,0.22431,0.36668,1.05945,0.9737,0.98147,0.99179,0.91042,0.87843,0.84964,0.87032,0.73659,0.51309,1.74041,0.04331,0.25119,0.95289,0.002872,0.002872,0.002872
74,25967.3,0.59654,2.47559,0.22402,0.36324,1.0564,0.97359,0.98211,0.99179,0.91054,0.87818,0.84939,0.87035,0.73674,0.51263,1.73736,0.04318,0.2509,0.95248,0.002773,0.002773,0.002773
75,26365.7,0.59928,2.48016,0.22328,0.36478,1.05668,0.97384,0.98209,0.99183,0.91066,0.878,0.84888,0.87027,0.73719,0.5118,1.73578,0.043,0.25081,0.95187,0.002674,0.002674,0.002674
76,26763,0.59827,2.44862,0.22343,0.36437,1.05554,0.97383,0.98159,0.99183,0.91104,0.87791,0.85004,0.87045,0.73767,0.51128,1.73315,0.04285,0.25049,0.95152,0.002575,0.002575,0.002575
77,27148.3,0.59008,2.44474,0.22146,0.36002,1.05403,0.9742,0.98159,0.99185,0.91126,0.87809,0.85055,0.87081,0.73853,0.51079,1.73075,0.04272,0.24986,0.95117,0.002476,0.002476,0.002476
78,27540.6,0.59061,2.41435,0.22149,0.35807,1.05359,0.97433,0.98214,0.99187,0.91172,0.87682,0.85058,0.87059,0.73899,0.51025,1.72806,0.04259,0.2495,0.95073,0.002377,0.002377,0.002377
79,27931.2,0.58593,2.40174,0.22013,0.35674,1.05292,0.97471,0.98169,0.99193,0.91186,0.87696,0.85074,0.87066,0.73932,0.50964,1.72497,0.04242,0.24934,0.95024,0.002278,0.002278,0.002278
80,28323.8,0.57994,2.3573,0.21961,0.353,1.04902,0.97502,0.98181,0.99196,0.91212,0.87714,0.85092,0.87094,0.73968,0.50905,1.72224,0.04232,0.24901,0.94986,0.002179,0.002179,0.002179
81,28714.3,0.58157,2.39821,0.21799,0.35178,1.04754,0.97557,0.98117,0.99195,0.91213,0.87803,0.8519,0.8716,0.74017,0.50843,1.71909,0.04221,0.24871,0.94946,0.00208,0.00208,0.00208
82,29107.4,0.57701,2.3412,0.21686,0.35082,1.04706,0.97544,0.98152,0.99196,0.91239,0.87789,0.85267,0.87207,0.74107,0.50789,1.71499,0.04209,0.24836,0.9491,0.001981,0.001981,0.001981
83,29506.8,0.57671,2.34143,0.21745,0.35098,1.04957,0.97545,0.98193,0.99194,0.91247,0.87743,0.85263,0.87218,0.74184,0.50733,1.71143,0.04194,0.24789,0.94873,0.001882,0.001882,0.001882
84,29930.2,0.57809,2.34343,0.2154,0.35093,1.04905,0.97544,0.98178,0.99193,0.9126,0.87832,0.85326,0.87299,0.74229,0.50678,1.70744,0.04183,0.24745,0.94838,0.001783,0.001783,0.001783
85,30357.5,0.57002,2.31031,0.21697,0.34309,1.04351,0.97555,0.98194,0.99196,0.91268,0.87885,0.85382,0.87401,0.74272,0.50616,1.70449,0.04176,0.2473,0.94798,0.001684,0.001684,0.001684
86,30774.7,0.57593,2.29756,0.21335,0.34571,1.04863,0.97533,0.98211,0.99197,0.91305,0.87983,0.85421,0.87606,0.74354,0.50552,1.70114,0.04165,0.24711,0.94752,0.001585,0.001585,0.001585
87,31212.7,0.56746,2.27208,0.21426,0.34339,1.04365,0.9757,0.98181,0.99203,0.91324,0.87896,0.85553,0.87748,0.74442,0.50488,1.698,0.04153,0.2467,0.94704,0.001486,0.001486,0.001486
88,31631.8,0.56708,2.25394,0.21229,0.33911,1.04305,0.9757,0.98215,0.99204,0.91329,0.87963,0.8563,0.87813,0.74517,0.50418,1.69469,0.04142,0.24618,0.94645,0.001387,0.001387,0.001387
89,32066.7,0.56316,2.21722,0.21073,0.3406,1.04197,0.97593,0.98161,0.99201,0.91354,0.88002,0.85669,0.87868,0.74564,0.50361,1.69169,0.04133,0.24591,0.94606,0.001288,0.001288,0.001288
90,32499,0.56368,2.24437,0.21117,0.34592,1.04316,0.97588,0.98169,0.99209,0.91385,0.88036,0.85694,0.87869,0.74704,0.50298,1.68873,0.04123,0.24545,0.94557,0.001189,0.001189,0.001189
91,32918.7,0.45821,1.64405,0.06972,0.24744,0.97934,0.97606,0.98155,0.99211,0.91405,0.88063,0.85698,0.87884,0.74754,0.50205,1.68531,0.04097,0.2449,0.94485,0.00109,0.00109,0.00109
92,33331.1,0.4492,1.59145,0.06699,0.24093,0.97315,0.97631,0.98158,0.99217,0.91465,0.88113,0.85758,0.87941,0.74814,0.50101,1.68095,0.04061,0.24431,0.94409,0.000991,0.000991,0.000991
93,33736.7,0.44239,1.55809,0.06363,0.23694,0.96985,0.97695,0.98143,0.99221,0.91513,0.88182,0.85745,0.8794,0.74909,0.50003,1.67551,0.04026,0.24362,0.94343,0.000892,0.000892,0.000892
94,34146,0.43789,1.53772,0.064,0.23514,0.96639,0.97738,0.9813,0.99224,0.91565,0.88242,0.85848,0.88045,0.74989,0.49905,1.67064,0.03988,0.24312,0.94274,0.000793,0.000793,0.000793
95,34501.1,0.43335,1.50835,0.06357,0.23044,0.96341,0.9773,0.98145,0.99225,0.91598,0.88294,0.85899,0.88109,0.75051,0.49811,1.66536,0.03947,0.24254,0.94209,0.000694,0.000694,0.000694
96,34842.6,0.42958,1.48422,0.06264,0.22991,0.96243,0.9773,0.98155,0.99223,0.91632,0.88385,0.85958,0.88185,0.75178,0.49704,1.65942,0.03907,0.24181,0.94135,0.000595,0.000595,0.000595
97,35184.5,0.42522,1.46427,0.06226,0.22528,0.959,0.9773,0.98167,0.99225,0.91673,0.88529,0.85963,0.88264,0.75294,0.49597,1.65434,0.03865,0.24127,0.94061,0.000496,0.000496,0.000496
98,35526.6,0.42031,1.44212,0.06063,0.22178,0.95573,0.97918,0.98092,0.99226,0.91682,0.88593,0.86066,0.88331,0.75413,0.4949,1.64885,0.03831,0.24052,0.93986,0.000397,0.000397,0.000397
99,35871.6,0.41618,1.42758,0.06122,0.21904,0.95456,0.97963,0.98092,0.99229,0.9171,0.88868,0.86091,0.8842,0.75522,0.49394,1.64354,0.03791,0.23988,0.9392,0.000298,0.000298,0.000298
100,36216.7,0.41355,1.41523,0.06035,0.21909,0.9519,0.97942,0.98145,0.99235,0.91754,0.88732,0.86168,0.88429,0.75583,0.49283,1.63836,0.0375,0.23913,0.93846,0.000199,0.000199,0.000199
